slide,target
Col_PNI2021chall_train_0004.svs,1
Col_PNI2021chall_train_0005.svs,1
Col_PNI2021chall_train_0006.svs,0
Col_PNI2021chall_train_0007.svs,1
Col_PNI2021chall_train_0008.svs,1
Col_PNI2021chall_train_0009.svs,1
Col_PNI2021chall_train_0010.svs,0
Col_PNI2021chall_train_0011.svs,0
Col_PNI2021chall_train_0012.svs,0
Col_PNI2021chall_train_0013.svs,1
Col_PNI2021chall_train_0014.svs,1
Col_PNI2021chall_train_0015.svs,0
Col_PNI2021chall_train_0016.svs,0
Col_PNI2021chall_train_0017.svs,1
Col_PNI2021chall_train_0022.svs,1
Col_PNI2021chall_train_0023.svs,1
Col_PNI2021chall_train_0024.svs,0
Col_PNI2021chall_train_0025.svs,1
Col_PNI2021chall_train_0026.svs,0
Col_PNI2021chall_train_0027.svs,1
Col_PNI2021chall_train_0028.svs,0
Col_PNI2021chall_train_0029.svs,0
Col_PNI2021chall_train_0030.svs,1
Col_PNI2021chall_train_0031.svs,0
Col_PNI2021chall_train_0032.svs,1
Col_PNI2021chall_train_0033.svs,0
Col_PNI2021chall_train_0034.svs,1
Col_PNI2021chall_train_0035.svs,0
Col_PNI2021chall_train_0036.svs,0
Col_PNI2021chall_train_0037.svs,1
Col_PNI2021chall_train_0042.svs,1
Col_PNI2021chall_train_0043.svs,1
Col_PNI2021chall_train_0046.svs,0
Col_PNI2021chall_train_0047.svs,0
Col_PNI2021chall_train_0048.svs,0
Col_PNI2021chall_train_0049.svs,0
Col_PNI2021chall_train_0050.svs,1
Col_PNI2021chall_test_0012.svs,1
Col_PNI2021chall_test_0013.svs,0
Col_PNI2021chall_test_0014.svs,1
Col_PNI2021chall_test_0015.svs,0
Col_PNI2021chall_test_0016.svs,0
Col_PNI2021chall_test_0017.svs,0
Col_PNI2021chall_test_0018.svs,0
Col_PNI2021chall_test_0019.svs,1
Col_PNI2021chall_test_0020.svs,0
Col_PNI2021chall_validation_0001.svs,1
Col_PNI2021chall_validation_0008.svs,1
Col_PNI2021chall_validation_0009.svs,0
Col_PNI2021chall_validation_0010.svs,1
